create_dropoff_averaged_distance_to_halite,create_dropoff_halite_remaining_threshold,create_dropoff_turn_remaining_threshold,create_ship_halite_remaining_threshold,create_ship_turn_remaining_threshold,forced_return_turn_remaining_threshold,gather_position_halite_amount,halite_density_bin,map_size,players,ray_length,return_halite_amount,samples
15,0.438130541,0.55876476,0.394905007,0.565663648,0.080980994,45.75119257,7,32,2,9.396565504,830.5445032,1
15,0.561746647,0.560043393,0.338410278,0.683608118,0.077888815,30.02124668,7,32,4,9.745184369,844.8502969,1
15,0.440096406,0.569556927,0.391611448,0.56965477,0.079983919,49.71222087,8,32,2,9.143336368,826.4269794,3
15,0.562940718,0.562980497,0.340987739,0.685597555,0.076462286,33.29907948,8,32,4,9.601496143,842.4240293,1
15,0.439511813,0.57942975,0.389485135,0.57238185,0.078986993,53.59549031,9,32,2,8.886981367,822.6989775,12
15,0.562694265,0.565192085,0.344369634,0.686195719,0.075196962,36.44242379,9,32,4,9.456332679,840.0256101,2
15,0.437038936,0.588028692,0.3884349,0.574123337,0.078040186,57.37729601,10,32,2,8.621662052,819.3800314,28
15,0.560625851,0.566620263,0.34886439,0.684871083,0.074178939,39.42772822,10,32,4,9.307744084,837.6700091,10
15,0.433238454,0.595129509,0.388271986,0.575180772,0.077162512,61.03662002,11,32,2,8.343380663,816.4530889,44
15,0.555988492,0.567266606,0.35510429,0.680585167,0.073539188,42.22047415,11,32,4,9.15344092,835.3648013,16
15,0.428744388,0.60052409,0.388765039,0.575843149,0.0763412,64.56225985,12,32,2,8.050558811,813.8547659,77
15,0.37979493,0.635520534,0.445864801,0.551379003,0.082528481,41.462907,12,32,4,9.701583761,837.3051599,38
15,0.424013045,0.604183739,0.389708218,0.576355564,0.075568775,67.95018565,13,32,2,7.744609759,811.534615,93
15,0.35013212,0.655658761,0.461584486,0.551622563,0.083308275,43.05842437,13,32,4,9.512584208,837.696037,47
15,0.419373362,0.6061655,0.390896117,0.576791924,0.074813041,71.19548521,14,32,2,7.428265884,809.4266716,112
15,0.341806687,0.658599102,0.469276762,0.551756009,0.083357925,45.08988289,14,32,4,9.217201671,836.154415,79
15,0.415028764,0.60664317,0.392201121,0.577265817,0.074067897,74.29299216,15,32,2,7.105513145,807.4893835,144
15,0.343712917,0.651016097,0.473416709,0.549213551,0.082993124,47.32679306,15,32,4,8.874403508,833.3288113,77
15,0.411056458,0.605867101,0.393458786,0.57773326,0.073306236,77.23769047,16,32,2,6.781073212,805.6804265,152
15,0.353077119,0.635265144,0.474932738,0.544010075,0.082348635,49.67761428,16,32,4,8.506898194,829.5460822,96
15,0.407531706,0.60413551,0.394583776,0.578200874,0.072517304,80.01697931,17,32,2,6.45918009,803.9871944,175
15,0.363994921,0.617607874,0.475477497,0.539264446,0.081651434,51.94910144,17,32,4,8.143139295,825.4806813,91
15,0.404464245,0.601799579,0.395534563,0.578666347,0.071699795,82.62737338,18,32,2,6.144808975,802.413074,159
